right_idx,left_idx,score
100007,11958,11.0
100009,12301,11.5
100010,13227,11.5
100011,13436,10.0
100012,13642,11.5
100013,13649,10.5
100014,13844,10.5
100015,14098,10.5
100016,14232,11.5
100017,14311,11.5
100018,14360,10.0
100019,14419,10.5
100021,15252,11.5
100025,16658,11.5
100026,17501,11.5
100027,17937,10.5
100033,20315,11.5
100036,21222,11.5
100038,23240,11.5
100040,23270,10.5
100042,22606,11.5
100044,11955,10.5
100046,17114,11.5
100049,23065,11.5
100050,19556,11.5
100051,12730,11.5
100055,16299,10.0
100056,19889,10.0
100060,16452,11.5
100062,21081,10.0
100063,12036,10.0
100064,14166,9.0
100065,15022,11.0
100068,17802,10.0
100073,13472,10.5
100075,14196,10.0
100077,15560,10.0
100078,20708,10.0
100079,12145,11.5
100080,12239,11.5
100082,12623,10.5
100085,12927,11.5
100088,13228,11.5
100089,14170,10.5
100090,14338,11.5
100094,15229,10.5
100095,15406,10.5
100096,16449,11.5
100097,16469,10.0
100098,16993,11.5
100100,17307,11.5
100102,17819,10.5
100103,18542,11.5
100106,19776,9.0
100108,20157,11.5
100110,20360,11.5
100112,20597,11.5
100113,21255,10.5
100114,21686,10.5
100115,21866,11.5
100116,22165,11.5
100117,22232,11.5
100118,22424,11.5
100119,23597,10.5
100120,23635,11.5
100121,23832,11.5
100123,19159,10.0
100126,20676,10.0
100127,22656,11.0
100131,12821,10.5
100132,17515,10.5
100133,13875,11.5
100134,15147,9.5
100135,16839,10.5
100137,16131,10.0
100139,12871,10.0
100140,15561,9.0
100141,18152,9.0
100148,15562,9.0
100152,14051,10.0
100153,14197,11.0
100156,15277,11.0
100158,15563,10.0
100160,17755,11.5
100161,18095,9.0
100163,19490,10.0
100164,20232,11.0
100165,20453,10.5
100166,21261,10.0
100168,21977,11.5
100169,22518,11.5
100170,22899,10.0
100172,23119,10.0
100173,23836,9.0
100174,16145,11.0
100177,18872,10.0
100178,23876,11.0
100179,15396,11.5
100183,21738,11.5
100186,22952,10.5
100188,13720,10.5
100191,13056,10.5
100195,22690,11.5
100196,23842,11.5
100197,13602,11.0
100198,21082,10.0
100199,21431,10.0
100200,22732,10.0
100201,18543,11.5
100202,18873,11.0
100203,20233,10.0
100205,19717,11.5
100206,16312,11.5
100207,17523,11.5
100208,22388,11.5
100210,20897,11.5
100211,17038,11.5
100212,12327,10.5
100213,18837,11.5
100214,22871,11.5
100215,13073,11.5
100221,21540,11.0
100222,12271,11.5
100249,17039,11.5
100250,17231,10.5
100251,17311,11.5
100257,17704,11.5
100258,17815,11.5
100264,18976,11.5
100268,21019,11.5
100270,21163,10.5
100276,23375,11.5
100280,23713,11.5
100281,23718,11.5
100292,13709,11.5
100297,14661,11.5
100300,15387,11.5
100304,15559,11.5
100311,16874,11.5
100314,17115,11.5
100331,18874,11.0
100338,19931,10.0
100340,20234,10.0
